	CÓDIGO DA OCORRÊNCIA	CLASSIFICAÇÃO	TIPO DE OCORRÊNCIA	LOCALIDADE	UF	PAÍS	DIA DA OCORRÊNCIA	STATUS DA INVESTIGAÇÃO	CONTAGEM
0	47965	ACIDENTE	FALHA DO MOTOR EM VOO	ARIQUEMES	RO	BRASIL	2013-05-05		1
1	50313	INCIDENTE GRAVE	POUSO SEM TREM	CACOAL	RO	BRASIL	2013-11-25	FINALIZADA	1
2	34078	ACIDENTE	PERDA DE CONTROLE NO SOLO	CEREJEIRAS	RO	BRASIL	2008-08-07	FINALIZADA	1
3	44988	ACIDENTE	POUSO LONGO	AMAJARI	RR	BRASIL	2011-08-11	FINALIZADA	1
4	38855	ACIDENTE	PERDA DE CONTROLE EM VOO	ACEGUÁ	RS	BRASIL	2009-12-28	ATIVA	1
5	46633	ACIDENTE	FALHA DO MOTOR EM VOO	ABADIA DE GOIÁS	GO	BRASIL	2012-11-15		1
6	43063	ACIDENTE	PERDA DE CONTROLE EM VOO	ALTO ALEGRE	RR	BRASIL	2010-09-21	FINALIZADA	1
7	45280	ACIDENTE	FALHA DO MOTOR EM VOO	ALTO ALEGRE	RR	BRASIL	2011-11-22	FINALIZADA	1
8	34515	ACIDENTE	FALHA DO MOTOR EM VOO	ALTO ALEGRE	RR	BRASIL	2008-11-16	FINALIZADA	1
9	45940	ACIDENTE	INDETERMINADA	ALTO ALEGRE	RR	BRASIL	2010-06-09	ATIVA	1
10	44316	ACIDENTE	PERDA DE CONTROLE EM VOO	ALTO ALEGRE	RR	BRASIL	2011-04-06	FINALIZADA	1
11	46201	ACIDENTE	COM TREM DE POUSO	ALTO ALEGRE	RR	BRASIL	2012-08-01	FINALIZADA	1
12	46152	ACIDENTE	CFIT - COLISÃO EM VOO CONTROLADO COM O TERRENO	ANGRA DOS REIS	RJ	BRASIL	2012-07-12	ATIVA	1
13	37797	ACIDENTE	INCURSÃO EM PISTA	ANGRA DOS REIS	RJ	BRASIL	2009-06-12	ATIVA	1
14	26140	ACIDENTE	PERDA DE CONTROLE EM VOO	ANGRA DOS REIS	RJ	BRASIL	2006-01-22	FINALIZADA	1
15	52284	ACIDENTE	CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO	ANGRA DOS REIS	RJ	BRASIL	2014-08-22		1
16	46841	ACIDENTE	POUSO BRUSCO	ANGRA DOS REIS	RJ	BRASIL	2012-12-27	FINALIZADA	1
17	53484	ACIDENTE	FALHA DO MOTOR EM VOO	ANGRA DOS REIS	RJ	BRASIL	2015-09-18		1
18	46310	ACIDENTE	OUTROS TIPOS	ANGRA DOS REIS	RJ	BRASIL	2012-08-31	ATIVA	1
19	43986	INCIDENTE GRAVE	COM ROTOR	ANGRA DOS REIS	RJ	BRASIL	2011-02-20	ATIVA	1
20	38660	ACIDENTE	FALHA DE SISTEMA / COMPONENTE	ANGRA DOS REIS	RJ	BRASIL	2009-10-12	FINALIZADA	1
21	31395	ACIDENTE	OUTROS TIPOS	ANGRA DOS REIS	RJ	BRASIL	2008-01-15	REABERTA	1
22	52982	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	BOA VISTA	RR	BRASIL	2015-01-29	FINALIZADA	1
23	42723	ACIDENTE	FALHA DO MOTOR EM VOO	BOA VISTA	RR	BRASIL	2010-09-01	FINALIZADA	1
24	44538	ACIDENTE	COM PÁRA-BRISAS / JANELA / PORTA	BOA VISTA	RR	BRASIL	2011-05-23	FINALIZADA	1
